2022-07-07 13:53:43.186778-> 33750,39.5,37.85,-7,0,4.044,3692,0.0,0.0,4.39,2.04,-1.98,0.59,0.5,0.66,-0.67,0.01,-0.23
2022-07-07 13:53:43.398709-> 34000,39.5,37.88,-9,0,4.043,3703,0.0,0.0,1.89,3.05,-1.16,0.55,0.49,0.69,-0.66,0.01,-0.23
2022-07-07 13:53:43.676249-> 34250,39.5,37.86,-5,0,4.027,3702,0.0,0.0,-2.01,-11.75,-0.61,0.61,0.5,0.68,-0.67,0.0,-0.22
2022-07-07 13:53:43.806750-> 34500,39.5,37.86,-5,0,4.053,3703,0.0,0.0,-2.62,-11.44,-0.64,0.63,0.51,0.66,-0.67,0.01,-0.22
2022-07-07 13:53:43.966735-> 34500,39.5,37.85,-5,0,4.047,3686,0.0,0.0,-9.22,-13.82,-0.15,0.68,0.47,0.63,-0.69,0.01,-0.22
2022-07-07 13:53:44.218771-> 34750,39.5,37.85,-5,0,4.017,3689,0.0,0.0,-10.68,-7.26,-0.37,0.66,0.41,0.62,-0.7,0.02,-0.22
2022-07-07 13:53:44.341634-> 35000,39.5,37.85,-7,0,4.05,3711,0.0,0.0,17.55,18.83,4.58,0.84,0.29,0.6,-0.69,0.02,-0.22
2022-07-07 13:53:44.588897-> 35250,39.5,37.85,-5,0,4.047,3746,0.0,0.0,37.48,43.76,-27.28,0.52,0.55,0.66,-0.63,-0.03,-0.22
2022-07-07 13:53:44.744901-> 35500,39.5,37.86,-4,0,4.021,3744,0.0,0.0,20.78,9.52,-7.17,0.39,0.66,0.68,-0.6,-0.03,-0.19
2022-07-07 13:53:44.979798-> 35500,39.5,37.86,-5,0,4.052,3783,0.0,0.0,29.17,-1.98,1.77,0.47,0.68,0.6,-0.61,-0.07,-0.15
2022-07-07 13:53:45.240174-> 35750,39.5,37.85,-5,0,4.041,3798,0.0,0.0,21.21,4.85,-28.02,0.44,0.8,0.5,-0.57,-0.07,-0.12
2022-07-07 13:53:45.438139-> 36000,39.5,37.86,-7,0,4.052,3783,0.0,0.0,0.92,6.68,-65.22,0.2,0.83,0.52,-0.44,-0.07,-0.12
2022-07-07 13:53:45.653564-> 36250,39.5,37.86,-5,0,4.028,3798,0.0,0.0,-1.8,2.72,-110.87,-0.3,0.8,0.51,-0.3,-0.01,-0.13
2022-07-07 13:53:45.796791-> 36500,39.5,37.86,-5,0,4.041,3766,0.0,0.0,0.0,0.0,-35.92,-0.37,0.91,0.52,-0.23,0.04,-0.13
2022-07-07 13:53:45.969918-> 36500,39.5,37.86,-5,0,4.008,3750,0.0,0.0,-4.33,13.82,-40.07,-0.51,0.71,0.52,-0.19,0.06,-0.14
2022-07-07 13:53:46.191489-> 36750,39.5,37.86,-5,0,4.052,3766,0.0,0.0,-0.98,2.26,-20.72,-0.61,0.63,0.49,-0.17,0.09,-0.13
2022-07-07 13:53:46.348071-> 37000,39.5,37.86,-7,0,4.07,3782,0.0,0.0,4.55,-11.11,16.48,-0.58,0.67,0.49,-0.25,-0.03,-0.2
2022-07-07 13:53:46.636300-> 37250,39.5,37.86,-5,0,4.08,3782,0.0,0.0,-16.48,-12.7,-20.08,-0.58,0.48,0.56,-0.21,0.04,-0.19
2022-07-07 13:53:46.815819-> 37500,39.5,37.86,-5,0,4.091,3759,0.0,0.0,2.35,-10.89,0.37,-0.54,0.64,0.55,-0.22,0.04,-0.2
2022-07-07 13:53:47.014865-> 37500,39.5,37.88,-6,0,4.089,3750,0.0,0.0,20.08,7.57,5.43,-0.5,0.68,0.53,-0.23,0.03,-0.18
2022-07-07 13:53:47.189475-> 37750,39.5,37.88,-7,0,4.084,3746,0.0,0.0,20.14,12.63,10.53,-0.56,0.72,0.39,-0.25,-0.0,-0.13
2022-07-07 13:53:47.389929-> 38000,39.5,37.86,-7,0,4.085,3751,0.0,0.0,14.25,16.45,29.91,-0.44,0.86,0.31,-0.28,-0.03,-0.1
2022-07-07 13:53:47.587908-> 38250,39.5,37.88,-6,0,4.08,3782,0.0,0.0,19.41,12.82,47.64,-0.37,0.94,0.26,-0.34,-0.07,-0.06
2022-07-07 13:53:47.787377-> 38500,39.5,37.88,-6,0,4.088,3815,0.0,0.0,33.45,-2.81,64.94,0.01,0.95,0.16,-0.42,-0.1,-0.04
